objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/7079/default.jpg,,,The Hull-House Players will present John Ferguson,St. John Irvine; Laura Dainty Pelham,April 1905,Historic program for the Hull House Theater's production of John Ferguson by St. John Ervine during their 1921-1922 season.,program,Hull House Theater,41.87164859,-87.64735001,"        
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/7079/rec/11"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll002,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5681/default.jpg,,,Hull House Theater presents Suffrage and Love,"Duchess de Cajenello; August Strindberg;
Mr. Wm. M. Payne; Nancie Chapin",February 1905,Historic playbill for the Hull House Theater's production of Suffrage and Love by Duchess de Cajenello and Samun by August Strindberg,playbill,Hull House Theater,41.87164859,-87.64735001,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5681/rec/2"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll003,https://cdm16818.contentdm.oclc.org/digital/api/singleitem/image/CPB01/8601/default.jpg,,,"Chicago Little Theatre, Evening with Columbine (October 21, 1913)","Reginald Arkell;
Oliphant Down;
Martyn Johnson; Maurice Brown; Ellen Van Volkenburg",March 1905,"Historic program from the second season of the Chicago Little Theatre during which they put on Columbine by Reginald Arkell, The Maker of Dreams by Oliphant Down, and Mr. and Mrs. P. Roe by Martyn Johnson",program,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago Theater Collection-Historic Programs, Chicago Public Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://cdm16818.contentdm.oclc.org/digital/collection/CPB01/id/8601/rec/1"">the Chicago Public Library</a>",http://rightsstatements.org/vocab/NKC/1.0/
coll004,https://cdm16818.contentdm.oclc.org/digital/api/singleitem/image/CPB01/2196/default.jpg,,,"Chicago Little Theatre, Philanderer (November 19, 1914)",Bernard Shaw; Maurice Brown; Ellen Van Volkenburg,1914,Historic program from the third season of the Chicago Little Theatre during which they put on The Philanderer by Bernard Shaw,program,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago Theater Collection-Historic Programs, Chicago Public Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://cdm16818.contentdm.oclc.org/digital/collection/CPB01/id/2196/rec/1"">the Chicago Public Library</a>",http://rightsstatements.org/vocab/NKC/1.0/
coll005,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8277/default.jpg,,,The Wonder Hat,Ben Hecht; Kenneth Sawyer Goodman; Stephen Leacock; Edith Andrews; Maurice Brown; Ellen Van Volkenburg,1916,Historic program from the fifth season of the Chicago Little Theatre during which they put on The Wonder Hat by Ben Hecht and Kenneth Sawyer Goodman and Behind the Beyond by Stephen Leacock and Edith Andrews,program,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/8279/rec/3"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll006,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8222/default.jpg,,,"The Grotesques Shadow Magic program, Chicago Little Theatre, 1915",Beryl Hight; Arthur Hight; Cloyd Head; Maurice Brown; Ellen Van Volkenburg,1915,Historic program from the Chicago Little Theatre's fourth season in which The Hindu Gods by Beryl and Arthur Hight and The Grotesques by Cloyd Head were performed,program,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/8224/rec/1"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll007,columbine.pdf,,,Columbine,Reginald Arkell,1913,Full script of Columbine by Reginald Arkell,play,"London, United Kingdom",51.52604,0.103475,Internet Archive; University of California,,Text;Book,application/pdf,eng,"Public domain; Original record can be found at the <a href=""https://archive.org/details/colombinefantasy00arke"">Internet Archive</a>",This work is in the Public Domain
coll008,John_Ferguson.pdf,,,John Ferguson,St. John Irvine,1915,Full script of John Ferguson by St. John Irvine,play,"Dublin, Ireland",53.35,-6.260278,Internet Archive; Cornell University,,Text;Book,application/pdf,eng,"Public domain; Original record can be found at the <a href=""https://archive.org/details/cu31924013610591"">Internet Archive</a>",This work is in the Public Domain
coll009,https://cdm16818.contentdm.oclc.org/digital/api/singleitem/image/CPB01/2545/default.jpg,,,"Fine Arts Theatre, Alice in Wonderland (February 11, 1915)",Alice Gerstenberg,1915,"Historic Program from Player's Producing Company in which Alice in Wonderland, an adaptation by Alice Gersentberg was performed",program,Player's Producing Company,41.87640221,-87.62453743,"Chicago Theater Collection-Historic Programs, Chicago Public Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://cdm16818.contentdm.oclc.org/digital/collection/CPB01/id/2545/rec/4"">the Chicago Public Library</a>",http://rightsstatements.org/vocab/NKC/1.0/
coll010,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5598/default.jpg,,,The Players' Workshop is an experimental theatre,Alice Gerstenberg,1903,Information card about the Players's Workshop created by Alice Gerstenberg,information card,The Players' Workshop,41.79259355,-87.58735713,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5598/rec/1"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll011,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5461/default.jpg?highlightTerms=Cloyd%20Head%20papers,,,Illustration for Production: The Grotesques,Cloyd Head,1915,Illustration for the Chicago Little Theatre's fourth season production: The Grotesques by Cloyd Head,illustration,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5461/rec/1"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll012,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5812/default.jpg?highlightTerms=Cloyd%20Head%20papers,,,Illustration for Production: The Grotesques,Cloyd Head,1915,Illustration for the Chicago Little Theatre's fourth season production: The Grotesques by Cloyd Head,illustration,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5812/rec/2"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll013,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5666/default.jpg?highlightTerms=Cloyd%20Head%20papers,,,Illustration for Production: The Grotesques,Cloyd Head,1915,Illustration for the Chicago Little Theatre's fourth season production: The Grotesques by Cloyd Head,illustration,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5666/rec/6"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll014,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5557/default.jpg?highlightTerms=Cloyd%20Head%20papers,,,"Performer in Cloyd Head's The Grotesques: A Decoration in Black and White, 1915",Cloyd Head,1915,Photograph of performer for the Chicago Little Theatre's fourth season production: The Grotesques by Cloyd Head,photograph,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5557/rec/3"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll015,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5554/default.jpg?highlightTerms=Cloyd%20Head%20papers,,,Women Plan Peace Drama,Chicago Daily Tribune,1915,"Newspaper clipping announcing the Chicago Little Theatre's tour for ""The Trojan Women"" by Euripedes produced with the help of the Hull House",newspaper clipping,Chicago Tribune,41.89698226,87.64560148,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5554/rec/4"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll016,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5446/default.jpg?highlightTerms=Cloyd%20Head%20papers,,,"The World's Greatest Peace Play The Trojan Women of Evripides, 1915",Chicago Little Theatre,1915,"Playbill for Chicago Little Theatre's tour for ""The Trojan Women"" by Euripedes",playbill,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5446/rec/5"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll017,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1750/default.jpg?highlightTerms=theater,,,"The Mignonette Club present ""The Rivals""",Edith de Nancrede; Richard Brinsley Sheridan,1920,"Historic playbill for the Hull House Theater's production of ""The Rivals"" by Richard Brinsley Sheridan and performed by the Mignonette Club",playbill,Hull House Theater,41.87164859,-87.64735001,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1750/rec/20"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll018,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1768/default.jpg,,,"The Marionette Player present ""The Mob""",Edith de Nancrede; John Galsworthy,March 1924,"Historic playbill for the Hull House Theater's production of ""The Mob"" by John Galsworthy and performed by the Marionette Players",playbill,Hull House Theater,41.87164859,-87.64735001,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1750/rec/20"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll019,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5657/default.jpg,,,The Hull House Players at the Fine Arts Theatre,The Chicago Theatre Society,1912,Announcement of Hull House Players performances in the Fine Arts Center,announcement,Fine Arts Building,41.87640221,-87.62453743,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6840/rec/10"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll020,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1769/default.jpg,,,The Marionette Players present The Sunken Bell,Edith de Nancrede; Gerhart Hauptmann,October 1923,"Historic playbill for the Hull House Theater's production of ""The Sunken Bell"" by Gerhart Hauptmann and performed by the Marionette Players",playbill,Hull House Theater,41.87164859,-87.64735001,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1769/rec/30"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll021,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1758/default.jpg,,,"The Marionette Players present ""The Mob""",Edith de Nancrede; John Galsworthy,March 1924,"Announcement for the Hull House Theater's production of ""The Mob"" by John Galsworthy and performed by the Marionette Players",announcement,Hull House Theater,41.87164859,-87.64735001,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1758/rec/24"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll022,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6828/default.jpg,,,"The Players' Club announces to its man patrons that it will repeat Galsworthy's the """"Silver Box""""",John Galsworthy; Lester Alden,April 1923,"Historic playbill for the Players' Club performances of ""The Silver Box"" by John Galsworthy, directed by Lester Alden",postcard playbill,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6830/rec/44"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll023,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6898/default.jpg,,,The Players' Club announces the presentation of Two One Act Plays of Elegance and Distiction,Gilbert Canaan; Frederick Fenn; Lester Alden,November 1922,"Historic playbill for the Players' Club's performances of ""Mary's Wedding"" by Gilbert Canaan and ""'Op O' Me Thumb"" by Frederick Fenn directed by Lester Alden.",postcard playbill,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6830/rec/44"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll024,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6874/default.jpg,,,"The Players' Club presents ""The Younger Generation""",Stanley Houghton; Lester Alden,February 1922,"Historic program for the Players' Club's performances of ""The Younger Generation"" by Stanley Houghton, directed by Lester Alden.",program,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6874/rec/11"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll025,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6701/default.jpg,,,"The Players' Club announces a benefit performance ""The Silver Box""",John Galsworthy; Lester Alden,March 1923,"Historic program for the Players' Club's performances of ""The Silver Box"" by John Galsworthy, directed by Lester Alden.",program,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6703/rec/13"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll026,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1778/default.jpg,,,"The Players' Club presents ""Mary's Wedding""",Gilbert Canaan; Frederick Fenn; Lester Alden,November 1922,"Historic playbill for the Players' Club's performances of ""Mary's Wedding"" by Gilbert Canaan and ""'Op O' Me Thumb"" by Frederick Fenn directed by Lester Alden.",playbill,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1778/rec/31"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll027,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1744/default.jpg,,,Letter from The Players Club of Chicago,The Player's Club,November 1922,"Announcement for the Players' Club's 1922-1923 season featuring productions of ""The Game of Chess"" by Kenneth Sawyer Goodman and ""The Camberly Triangle"" by A. A. Milne",announcement,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1744/rec/18"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll028,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6736/default.jpg,,,The Players' Club announces the presentation of two One Act Comedies,The Player's Club,1920,"Historic playbill for the Players' Club's performances of ""Spring in Bloomsbury"" by Harold Brighouse and ""Makeshifts"" by Gertrude Robins, directed by Lester Alden.",postcard playbill,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6738/rec/22"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"
coll029,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1782/default.jpg,,,"The Players' Club present ""The Silver Box""",The Player's Club,April 1923,"Historic playbill for the Players' Club's performances of ""The Silver Box"" by John Galsworthy, directed by Lester Alden.",program,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1782/rec/35"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions"